timestamp,price,market_cap,total_volume
2026-09-17 09:00:00+07:00,76319.53544858546,1532908397299.0186,31179721836.08184
2026-09-17 10:00:00+07:00,76308.60784780057,1532691277633.057,31235654783.020863
2026-09-17 11:00:00+07:00,76379.69412194121,1534119076087.3557,31080082537.70363
2026-09-17 12:00:00+07:00,76474.62583647082,1536029873644.4211,31024114994.122307
2026-09-17 13:00:00+07:00,76255.85246759058,1531636619714.3806,30768594773.599297
2026-09-17 14:00:00+07:00,76412.86027527358,1534790199407.5664,30655290633.61008
2026-09-17 15:00:00+07:00,76389.80825429753,1534327188132.46,30163951141.743076
2026-09-17 16:00:00+07:00,76501.71322528768,1536574854979.6628,29579423256.36037
2026-09-17 17:00:00+07:00,76405.27780547379,1534637901740.7324,29467132219.302113
2026-09-17 18:00:00+07:00,76329.32226836545,1533118021803.1353,29564989127.13241
2026-09-17 19:00:00+07:00,76393.53179481809,1534409158282.6802,29262350208.211563
2026-09-17 20:00:00+07:00,76679.01982264512,1540144350586.7805,29944670169.83365
2026-09-17 21:00:00+07:00,76632.21849484988,1539204317696.8123,30087737757.084843
2026-09-17 22:00:00+07:00,76443.5456147915,1535417996203.5544,30860348142.66519
2026-09-17 23:00:00+07:00,76705.8650416903,1540688308762.6023,30819115157.74735
2026-09-18 00:00:00+07:00,76686.8606201434,1540306592317.8926,31096206653.703884
2026-09-18 01:00:00+07:00,76606.12470764066,1538688098677.006,30616687829.281136
2026-09-18 02:00:00+07:00,76518.29591994952,1536925678871.616,26578406414.982872
2026-09-18 03:00:00+07:00,76532.82485944452,1537219416519.0623,25211434448.833344
2026-09-18 04:00:00+07:00,76496.89607709019,1536497759871.1025,24533655045.282677
2026-09-18 05:00:00+07:00,76351.21604228596,1533571666674.9934,24348531764.13961
2026-09-18 06:00:00+07:00,76353.2776230547,1533613075077.1038,24063278814.275494
2026-09-18 07:00:00+07:00,76371.3617203135,1533982493868.1716,23628097103.02466
2026-09-18 08:00:00+07:00,76526.045747213,1537089451554.926,23414176764.17981
2026-09-18 09:00:00+07:00,76687.7376556472,1540338855517.1072,23203242838.493053
2026-09-18 10:00:00+07:00,76924.54758447783,1545095385646.9695,23393415586.58105
2026-09-18 11:00:00+07:00,77316.48429533666,1552970166793.4067,24606696411.62657
2026-09-18 12:00:00+07:00,77488.22238991703,1556419678754.7434,25286818674.822937
2026-09-18 13:00:00+07:00,77429.8710715553,1555249344224.9922,26041164428.695328
2026-09-18 14:00:00+07:00,77525.33865153576,1557166897348.93,26491633307.32883
2026-09-18 15:00:00+07:00,77735.27104820966,1561383580364.6738,27118237792.365475
2026-09-18 16:00:00+07:00,78183.12810436488,1570385763822.3762,28849372635.583336
2026-09-18 17:00:00+07:00,78146.1136857525,1569642292469.2288,29985887465.049656
2026-09-18 18:00:00+07:00,78215.4882673457,1571038487371.5774,30233442071.14203
2026-09-18 19:00:00+07:00,77998.59940735795,1566683221635.9663,30519663987.47126
2026-09-18 20:00:00+07:00,77976.49790115296,1566240771385.4282,29856752503.245316
2026-09-18 21:00:00+07:00,80014.1246612521,1607169709005.2595,33128549717.706867
2026-09-18 22:00:00+07:00,80901.08489368358,1624987281283.0178,37022353825.39801
2026-09-18 23:00:00+07:00,80693.63031541022,1620820327878.361,39220793856.98087
2026-09-19 00:00:00+07:00,80823.97650530725,1623441222498.4531,40535568909.93284
2026-09-19 01:00:00+07:00,80930.7294057089,1625585475560.8093,40929635037.4204
2026-09-19 02:00:00+07:00,80917.01895276866,1625313079495.5522,41568874820.40887
2026-09-19 03:00:00+07:00,81165.49090501893,1630305958754.4275,42924468531.32456
2026-09-19 04:00:00+07:00,81109.14633748903,1629175021818.9502,43732318199.82359
2026-09-19 05:00:00+07:00,81233.27558568334,1631668307468.8062,44325641306.267715
2026-09-19 06:00:00+07:00,81124.11668162764,1629479775441.0432,44526837878.17969
2026-09-19 07:00:00+07:00,80873.58287659245,1624449753756.773,44737458821.40004
2026-09-19 08:00:00+07:00,81605.60145345944,1639153286784.9993,45812487262.72216
2026-09-19 09:00:00+07:00,81260.24416188644,1632216342144.993,45916075753.177895
2026-09-19 10:00:00+07:00,81275.55262020552,1632523832186.392,45487999592.146164
2026-09-19 11:00:00+07:00,81110.5819161594,1629216997062.1228,44312260085.89119
2026-09-19 12:00:00+07:00,80992.8673990948,1626854564775.106,43694278458.436195
2026-09-19 13:00:00+07:00,81024.67802451286,1627493525498.8289,43031053160.58941
2026-09-19 14:00:00+07:00,81026.26995674276,1627528580673.4866,42438860248.493
2026-09-19 15:00:00+07:00,81098.54209782656,1628981810920.8884,41264627382.25591
2026-09-19 16:00:00+07:00,81285.51268824431,1632737386336.785,40434742706.27192
2026-09-19 17:00:00+07:00,81301.07555919111,1633053485112.1633,39948492392.31762
2026-09-19 18:00:00+07:00,81203.08709644122,1631087270618.2341,39777177936.96319
2026-09-19 19:00:00+07:00,81276.42776648348,1632560673136.4536,39375479612.70033
2026-09-19 20:00:00+07:00,81303.83303759771,1633111149690.2002,38999433338.28509
2026-09-19 21:00:00+07:00,81323.96763620769,1633515583728.006,35430631747.60085
2026-09-19 22:00:00+07:00,81543.5714688772,1637930493272.4617,31256839560.233547
2026-09-19 23:00:00+07:00,81616.22715399746,1639389896632.2166,29080196770.466995
2026-09-20 00:00:00+07:00,81817.26303085411,1643428017443.1372,27929441744.444492
2026-09-20 01:00:00+07:00,81451.70400617635,1636089263821.134,27210618364.801758
2026-09-20 02:00:00+07:00,81407.1543785679,1635194412469.3208,26417004901.885395
2026-09-20 03:00:00+07:00,81321.60859090071,1633477875986.3298,25130947423.889126
2026-09-20 04:00:00+07:00,81107.41299929535,1629175406248.166,24525061721.25901
2026-09-20 05:00:00+07:00,81077.19287844416,1628568385559.8716,24490759591.47204
2026-09-20 06:00:00+07:00,81226.58014364234,1631569073776.492,24233577186.704716
2026-09-20 07:00:00+07:00,81236.41383660372,1631766599626.8777,24055616822.501354
2026-09-20 08:00:00+07:00,81267.50180980323,1632391052552.866,23514911240.082977
2026-09-20 09:00:00+07:00,81062.07358503582,1628264689756.1238,22797660941.091827
2026-09-20 10:00:00+07:00,80275.857517878,1612472250652.909,23305978298.742023
2026-09-20 11:00:00+07:00,80456.86537536806,1616108090323.483,24663515820.421383
2026-09-20 12:00:00+07:00,80398.7910887005,1614954919233.2556,24667059725.162045
2026-09-20 13:00:00+07:00,80464.43921945192,1616273580499.922,25221690691.568558
2026-09-20 14:00:00+07:00,80279.11386599072,1612550986078.0654,25457430916.907707
2026-09-20 15:00:00+07:00,80286.81142799527,1612709619853.2954,25277194537.273838
2026-09-20 16:00:00+07:00,80231.02432377993,1611591038099.8728,25001711527.206093
2026-09-20 17:00:00+07:00,80440.85039486186,1615805789420.3933,24203431117.98394
2026-09-20 18:00:00+07:00,80291.58373525404,1612807487791.5835,23869615359.35354
2026-09-20 19:00:00+07:00,80444.85492504438,1615886227941.6304,24049429693.29715
2026-09-20 20:00:00+07:00,80450.67040420262,1616006582608.9377,23970244415.834938
2026-09-20 21:00:00+07:00,80531.50045682659,1617630209813.7415,23694059717.40367
2026-09-20 22:00:00+07:00,80652.47933380083,1620061513229.2974,23450517080.655838
2026-09-20 23:00:00+07:00,80894.08811152376,1624914694250.891,22984059384.783916
2026-09-21 00:00:00+07:00,81300.35629387794,1633079687772.632,23937199065.956005
2026-09-21 01:00:00+07:00,81121.31195512225,1629485496790.0916,24190266577.744286
2026-09-21 02:00:00+07:00,81043.12277078643,1627914909002.3652,24153437019.530293
2026-09-21 03:00:00+07:00,81168.71681341677,1630437719174.1558,24094432428.610943
2026-09-21 04:00:00+07:00,81071.42688202347,1628489534636.186,23804703749.8108
2026-09-21 05:00:00+07:00,80900.96997873778,1625068139287.063,23632782930.39914
2026-09-21 06:00:00+07:00,81197.32632288539,1631023360630.7053,23889450696.689007
2026-09-21 07:00:00+07:00,81169.03511950027,1630456856533.6533,23789617808.46851
2026-09-21 08:00:00+07:00,81592.86036903408,1638970309761.9333,25058458902.817703
2026-09-21 09:00:00+07:00,80978.55537189932,1626630655938.1978,26290363583.316864
2026-09-21 10:00:00+07:00,81293.14737623878,1632954230063.5522,25794076283.60722
2026-09-21 11:00:00+07:00,81402.82033078084,1635157744452.8132,24823827678.264725
2026-09-21 12:00:00+07:00,81374.90685980523,1634599074318.505,24767299018.944927
2026-09-21 13:00:00+07:00,81533.64648796487,1637789023357.474,23704969993.083015
2026-09-21 14:00:00+07:00,81619.9501019392,1639522628043.7812,23990226003.362743
2026-09-21 15:00:00+07:00,81724.18158336761,1641620195824.1196,24617198094.239876
2026-09-21 16:00:00+07:00,83733.7521341574,1681989185932.0667,30193430878.219093
2026-09-21 17:00:00+07:00,84619.91534546805,1699789856514.7876,36959640174.9325
2026-09-21 18:00:00+07:00,84398.43980182928,1695344122495.548,39280872022.54799
2026-09-21 19:00:00+07:00,84824.33784541108,1703900404035.9104,40908380119.28247
2026-09-21 20:00:00+07:00,85288.12590784895,1713218235547.5913,43946492626.34275
2026-09-21 21:00:00+07:00,85458.23683218673,1716635324791.1306,47519886205.54074
2026-09-21 22:00:00+07:00,85822.11261773574,1723944649795.532,51052313769.819954
2026-09-21 23:00:00+07:00,85928.37009570333,1726084243873.2986,53442723799.67589
2026-09-22 00:00:00+07:00,85982.6621210711,1727176983305.0022,53996514712.50275
2026-09-22 01:00:00+07:00,85873.129903004,1724977785023.5413,54236077915.49327
2026-09-22 02:00:00+07:00,86053.17874673507,1728597186521.263,55094136533.718216
2026-09-22 03:00:00+07:00,86546.3534978703,1738505761040.507,57496202325.91271
2026-09-22 04:00:00+07:00,86968.79677586093,1746991619113.287,59765617389.89998
2026-09-22 05:00:00+07:00,86582.73124135063,1739238925752.8298,60116682931.82281
2026-09-22 06:00:00+07:00,86421.95454677695,1736009308466.0186,60589325104.24097
2026-09-22 07:00:00+07:00,86596.74004249526,1739520328890.6677,61251744760.22805
2026-09-22 08:00:00+07:00,85912.669480049,1725778995796.7542,60877637739.96414
2026-09-22 09:00:00+07:00,85588.85701086618,1719274381736.0474,60388930752.3246
2026-09-22 10:00:00+07:00,85700.6334938903,1721528272632.6863,60964720750.168045
